竞彩让球线1,竞彩比赛结果1,竞彩让球线2,竞彩比赛结果2,皇冠让球线1,皇冠比赛结果1,皇冠让球线2,皇冠比赛结果2
-3,h,-3,d,-2.75,a,-,-
-3,a,-3,d,-2.75,h,-,-
-3,h,-3,d,-2.5,a,-,-
-3,a,-,-,-2.5,h,-,-
-3,h,-,-,-2.75,a,J3,h
-3,a,-,-,-2.75,h,J3,h
-3,a,-,-,-2.25,h,-,-
-3,h,-,-,-2.5,a,J3,h
-3,a,-,-,-2,h,-,-
-2,a,-2,d,-2.5,h,-,-
-2,h,-2,d,-2.25,a,-,-
-2,a,-2,d,-2.25,h,-,-
-2,h,-2,d,-2,a,-,-
-2,a,-2,d,-2,h,-,-
-2,h,-2,d,-1.75,a,-,-
-2,a,-2,d,-1.75,h,-,-
-2,h,-2,d,-1.5,a,-,-
-2,h,-,-,-2.5,a,-,-
-2,a,-,-,-2.5,h,J2,h
-2,h,-,-,-2.25,a,J2,h
-2,a,-,-,-2.25,h,J2,h
-2,h,-,-,-2,a,J2,h
-2,a,-,-,-2,h,J2,h
-2,h,-,-,-1.75,a,J2,h
-2,a,-,-,-1.75,h,J2,h
-2,a,-,-,-1.5,h,-,-
-2,h,-,-,-1.5,a,J2,h
-2,a,-,-,-1.25,h,-,-
-2,a,-,-,-1,h,-,-
-1,a,-1,d,-1.5,h,-,-
-1,h,-1,d,-1.25,a,-,-
-1,a,-1,d,-1.25,h,-,-
-1,h,-1,d,-1,a,-,-
-1,a,-1,d,-1,h,-,-
-1,h,-1,d,-0.75,a,-,-
-1,a,-1,d,-0.75,h,-,-
-1,h,-1,d,-0.5,a,-,-
-1,h,-,-,-2,a,-,-
-1,h,-,-,-1.75,a,-,-
-1,h,-,-,-1.5,a,-,-
-1,a,-,-,-1.5,h,J1,h
-1,h,-,-,-1.25,a,J1,h
-1,a,-,-,-1.25,h,J1,h
-1,h,-,-,-1,a,J1,h
-1,a,-,-,-1,h,J1,h
-1,h,-,-,-0.75,a,J1,h
-1,a,-,-,-0.75,h,J1,h
-1,a,-,-,-0.5,h,-,-
-1,h,-,-,-0.5,a,J1,h
-1,a,-,-,-0.25,h,-,-
-1,a,-,-,-,h,-,-
-1,a,-,-,0,h,-,-
-,a,-,d,-0.5,h,-,-
-,a,-,-,-0.5,h,-,d
-,h,-,-,-0.5,a,-,-
-,h,-,-,-0.25,a,-,d
-,d,-,-,-0.25,h,-,a
-,a,-,-,-0.25,h,-,d
-,h,-,d,-0.25,a,-,-
-,a,-,d,-0.25,h,-,-
-,d,-,-,-,h,-0.25,a
-,h,-,-,-,a,-,d
-,d,-,-,-,h,-,a
-,a,-,-,-,h,-,d
-,h,-,d,-,a,-,-
-,a,-,d,-,h,-,-
-,h,-,a,-,d,-,-
-,h,-,-,0,a,-,d
-,d,-,-,-,h,0,a
-,d,-,-,0,h,-,a
-,a,-,-,0,h,-,d
-,h,-,d,0,a,-,-
-,a,-,d,0,h,-,-
-,d,-,-,-,h,0.25,a
-,h,-,-,0.25,a,-,d
-,a,-,-,0.25,h,-,d
-,h,-,d,0.25,a,-,-
-,a,-,d,0.25,h,-,-
-,h,-,d,0.5,a,-,-
-,h,-,-,0.5,a,-,d
-,a,-,-,0.5,h,-,-
+1,h,-,-,-,a,-,-
+1,h,-,-,0.5,a,-,-
+1,a,-,-,0.5,h,J1,a
+1,h,-,-,0.75,a,J1,a
+1,a,-,-,0.75,h,J1,a
+1,h,-,-,1,a,J1,a
+1,a,-,-,1,h,J1,a
+1,h,-,-,1.25,a,J1,a
+1,a,-,-,1.25,h,J1,a
+1,a,-,-,1.5,h,-,-
+1,h,-,-,1.5,a,J1,a
+1,a,+1,d,0.5,h,-,-
+1,h,+1,d,0.75,a,-,-
+1,a,+1,d,0.75,h,-,-
+1,h,+1,d,1,a,-,-
+1,a,+1,d,1,h,-,-
+1,h,+1,d,1.25,a,-,-
+1,a,+1,d,1.25,h,-,-
+1,h,+1,d,1.5,a,-,-
+2,h,-,-,1.5,a,-,-
+2,a,-,-,1.5,h,J2,a
+2,h,-,-,1.75,a,J2,a
+2,a,-,-,1.75,h,J2,a
+2,h,-,-,2,a,J2,a
+2,a,-,-,2,h,J2,a
+2,h,-,-,2.25,a,J2,a
+2,a,-,-,2.25,h,J2,a
+2,a,-,-,2.5,h,-,-
+2,h,-,-,2.5,a,J2,a
+2,a,+2,d,1.5,h,-,-
+2,h,+2,d,1.75,a,-,-
+2,a,+2,d,1.75,h,-,-
+2,h,+2,d,2,a,-,-
+2,a,+2,d,2,h,-,-
+2,h,+2,d,2.25,a,-,-
+2,a,+2,d,2.25,h,-,-
+2,h,+2,d,2.5,a,-,-